Date,Open,High,Low,Close,Adj Close,Volume
2013-01-02,8.93,8.95,8.51,8.54,8.54,4875000
2013-01-03,8.65,8.93,8.54,8.77,8.77,5051200
2013-01-04,8.9,8.96,8.71,8.8,8.8,3799700
2013-01-07,8.88,8.89,8.46,8.64,8.64,3773900
2013-01-08,8.65,8.78,8.58,8.76,8.76,2932200
2013-01-09,8.77,8.84,8.43,8.57,8.57,3837800
2013-01-10,8.57,8.59,7.98,8.26,8.26,9120500
2013-01-11,8.4,8.45,8.26,8.33,8.33,2971100
2013-01-14,8.29,8.36,8.12,8.23,8.23,3852000
2013-01-15,8.24,8.46,8.17,8.43,8.43,3062800
2013-01-16,8.39,9.25,8.26,8.91,8.91,13110900
2013-01-17,9.13,9.24,8.84,8.87,8.87,5618300
2013-01-18,9.0,9.04,8.85,9.02,9.02,3086900
2013-01-22,9.14,9.14,8.8,8.93,8.93,4399900
2013-01-23,8.92,8.94,8.71,8.9,8.9,4053900
2013-01-24,8.85,9.0,8.81,8.93,8.93,3329600
2013-01-25,8.93,8.95,8.8,8.83,8.83,1811500
2013-01-28,8.92,8.92,8.81,8.88,8.88,1841500
2013-01-29,8.89,8.9,8.77,8.85,8.85,1682100
2013-01-30,8.8,8.9,8.71,8.76,8.76,2316800
2013-01-31,8.72,8.76,8.57,8.6,8.6,2126400
2013-02-01,8.6,8.79,8.48,8.76,8.76,2040000
2013-02-04,8.74,8.87,8.66,8.79,8.79,2200900
2013-02-05,8.81,9.0,8.8,8.95,8.95,2427700
2013-02-06,8.92,9.04,8.87,9.04,9.04,1816500
2013-02-07,9.05,9.18,8.93,9.15,9.15,2370600
2013-02-08,9.13,9.25,9.12,9.21,9.21,1770800
2013-02-11,9.25,9.25,9.02,9.13,9.13,2847500
2013-02-12,9.13,9.2,9.04,9.11,9.11,2040800
2013-02-13,9.12,9.49,9.12,9.47,9.47,2984300
2013-02-14,9.48,9.55,9.35,9.47,9.47,1855000
2013-02-15,9.55,9.68,9.4,9.42,9.42,2123200
2013-02-19,9.47,9.61,9.33,9.4,9.4,2229900
2013-02-20,9.38,9.39,8.88,8.98,8.98,2696000
2013-02-21,8.98,9.13,8.61,8.78,8.78,3272400
2013-02-22,8.85,9.2,8.8,9.18,9.18,2406100
2013-02-25,9.25,9.31,9.11,9.15,9.15,2323500
2013-02-26,9.15,9.18,8.9,8.95,8.95,2583300
2013-02-27,9.01,9.35,9.01,9.34,9.34,2938800
2013-02-28,9.5,9.59,9.23,9.55,9.55,4552600
2013-03-01,9.5,9.84,9.38,9.82,9.82,3915600
2013-03-04,10.0,10.33,9.96,10.28,10.28,7367200
2013-03-05,10.58,10.63,10.06,10.22,10.22,9893000
2013-03-06,9.89,10.0,9.56,9.75,9.75,7968100
2013-03-07,9.83,10.0,9.73,9.9,9.9,3473400
2013-03-08,9.98,9.98,9.7,9.77,9.77,2540700
2013-03-11,9.71,9.78,9.31,9.63,9.63,3623500
2013-03-12,9.64,9.71,9.53,9.58,9.58,2137000
2013-03-13,9.55,9.64,9.47,9.52,9.52,1458800
