city,2017_pop,n_killed,pc_killed,state
Baltimore,611648,303,49.53829653657005,Maryland
Las Vegas,641676,214,33.35016425735106,Nevada
Memphis,652236,165,25.297591669273086,Tennessee
Detroit,673104,160,23.770472319284984,Michigan
Chicago,2716450,574,21.130519611993595,Illinois
Milwaukee,595351,107,17.972590958946906,Wisconsin
Indianapolis,863002,151,17.497062579229247,Indiana
Washington,693972,100,14.409803277365656,District of Columbia
Philadelphia,1580863,223,14.106219197995017,Pennsylvania
Columbus,879170,120,13.649237348863132,Ohio
Jacksonville,892062,113,12.667280973743976,Florida
Albuquerque,558545,69,12.353525678324933,New Mexico
Houston,2312717,264,11.415145043686712,Texas
Tucson,535677,50,9.33398297854864,Arizona
Oklahoma City,643648,59,9.166500944615692,Oklahoma
Dallas,1341075,122,9.097179501519303,Texas
Charlotte,859035,76,8.847136612594365,North Carolina
Fresno,527438,44,8.342212734008548,California
Sacramento,501901,41,8.168941683718502,California
Boston,685094,49,7.152303187591776,Massachusetts
