state,pop,n_killed,pc_killed
District of Columbia,693972,459,66.14099704310837
Louisiana,4684333,2179,46.51676129771304
Mississippi,2984100,1176,39.40886699507389
Alabama,4874747,1880,38.566104046015106
Alaska,739795,267,36.09107928547773
Missouri,6113532,2136,34.93888639169632
South Carolina,5024369,1610,32.04382480665731
Nevada,2998039,858,28.618707094871016
Maryland,6052177,1691,27.940359312029372
Tennessee,6715984,1824,27.159087931120737
Illinois,12802023,3409,26.62860393236288
Arkansas,3004279,773,25.729967156845287
Indiana,6666818,1608,24.11945248842851
Oklahoma,3930864,941,23.938757484359673
Kentucky,4454189,1066,23.932527335503725
New Mexico,2088070,495,23.70610180693176
Georgia,10429379,2456,23.54886134639464
Delaware,961939,217,22.558602988339178
North Carolina,10273419,2225,21.657833677376537
Ohio,11658609,2508,21.512000273789095
Pennsylvania,12805537,2395,18.70284705748771
Florida,20984400,3909,18.62812374907074
Kansas,2913123,542,18.60546224790371
West Virginia,1815857,335,18.448589288693988
Texas,28304596,5046,17.827493457246305
Virginia,8470020,1459,17.225461096904137
Michigan,9962311,1588,15.940076554526355
Arizona,7016270,1094,15.592330397775457
Wisconsin,5795483,862,14.873652463478885
Montana,1050493,154,14.659783549247829
Colorado,5607154,796,14.196150132491457
California,39536653,5562,14.067958661042956
New Jersey,9005644,1168,12.969644369686389
Wyoming,579315,73,12.601089217437837
Nebraska,1920076,225,11.718286151173183
Washington,7405743,853,11.518088056795921
Oregon,4142776,446,10.765728101157292
South Dakota,869666,90,10.348800574013472
Idaho,1716943,166,9.66834659042263
Connecticut,3588184,341,9.503414540614417
Vermont,623657,57,9.139639256835087
North Dakota,755393,69,9.134318162863568
Utah,3101833,282,9.091398537574396
Iowa,3145711,273,8.67848317916045
New York,19849399,1705,8.589680725345891
Maine,1335907,112,8.383817136971361
Minnesota,5576606,461,8.266676899892158
Massachusetts,6859819,472,6.880648017097827
New Hampshire,1342795,88,6.553494762789555
Rhode Island,1059639,63,5.9454210348996215
Hawaii,1427538,63,4.413192503457001
