city,n_killed,2014_pop,pc_killed
"Gary, Indiana",38,78085,48.66491643721585
"New Orleans, Louisiana",163,384763,42.363740796282386
"Wilmington, Delaware",24,71393,33.616741137086265
"Trenton, New Jersey",28,84937,32.96560980491423
"Camden, New Jersey",25,76219,32.800220417481206
"Fort Myers, Florida",23,70547,32.60237855613988
"Jackson, Mississippi",54,171930,31.408131216192636
"Greenville, South Carolina",19,61349,30.970349964954607
"Compton, California",29,97966,29.602106853398116
"Baton Rouge, Louisiana",65,228435,28.45448377000022
"Birmingham, Alabama",60,210998,28.43628849562555
"Baltimore, Maryland",172,624062,27.56136409523413
"Flint, Michigan",27,98548,27.397816292568088
"Newark, New Jersey",77,281660,27.337925157991904
"West Palm Beach, Florida",27,104426,25.855629823990192
"Bradenton, Florida",13,52160,24.923312883435585
"Jackson, Tennessee",16,67071,23.855317499366343
"Dayton, Ohio",33,140973,23.408737843416823
"Saginaw, Michigan",11,49773,22.10033552327567
"Cleveland, Ohio",85,390653,21.758440354995354
