city,n_killed,2015_pop,pc_killed,state
Baltimore,264,623031,42.37349345377678,Maryland
Milwaukee,131,601012,21.79656978562824,Wisconsin
Las Vegas,132,621481,21.239587372743497,Nevada
Memphis,124,654753,18.938439380957398,Tennessee
Detroit,126,678250,18.57722078879469,Michigan
Washington,122,672736,18.134899871569232,District of Columbia
Indianapolis,139,854051,16.275374655611902,Indiana
Chicago,432,2725154,15.852315135218047,Illinois
Houston,292,2282235,12.794475590813391,Texas
Philadelphia,186,1570507,11.843309198876542,Pennsylvania
Columbus,90,852305,10.559600143141246,Ohio
Jacksonville,88,866856,10.151628413485055,Florida
Oklahoma City,58,631149,9.189589146144572,Oklahoma
Albuquerque,49,556205,8.809701458994436,New Mexico
Charlotte,66,826710,7.983452480313533,North Carolina
Denver,50,681618,7.335487032326024,Colorado
Dallas,91,1299793,7.001114792893946,Texas
Fort Worth,56,834968,6.706843855093847,Texas
Fresno,34,519650,6.542865390166458,California
San Antonio,94,1464147,6.4201203840871175,Texas
