Incident Date,State,City Or County,Address,# Killed,# Injured
2017-04-29,California,Los Angeles (Boyle Heights),Murchison St and Lancaster Ave,1,3
2017-04-30,California,San Diego,9080 Judicial Dr,2,6
2017-04-30,South Carolina,Loris,268 N Sea Green Rd,1,5
2017-04-30,Florida,Jacksonville,1200 Ken Knight Dr N,0,5
2017-04-30,Kansas,Topeka,4104 SW 28th,4,1
2017-05-01,Texas,Dallas,3200 block of Reynolds Ave,2,3
2017-05-02,Florida,Jacksonville,1566 West 24th Street,1,3
2017-05-04,Michigan,Flint,600 block of Copeman Boulevard,1,3
2017-05-07,Illinois,Chicago,2600 block of 46th Pl,2,8
2017-05-09,Kansas,Kansas City,1900 block of S. Boeke,3,1
2017-05-10,New Jersey,Trenton,300 block of Centre St,1,3
2017-05-14,Texas,Fort Worth,8600 block of Calmont Ave,0,4
2017-05-14,Florida,Avon Park,Hal McRae Blvd and Delaney Ave,0,5
2017-05-14,Illinois,Dolton,14112 Chicago Road,0,5
2017-05-14,Arkansas,Jonesboro,311 S Main St,1,6
2017-05-16,South Carolina,Ruffin,21785 Lowcountry Hwy,3,1
2017-05-20,Pennsylvania,Philadelphia,2100 block of W Huntingdon St,0,10
2017-05-21,Arizona,Mesa,441 N Val Vista Dr,0,4
2017-05-21,Iowa,Des Moines,4300 Beaver Dr,1,3
2017-05-26,Florida,Miami,2730 NW 167th St,0,4
2017-05-27,New York,New York (Manhattan),318 W 14th St,0,4
2017-05-27,Mississippi,Bogue Chitto,2871 Lee Dr,8,1
2017-05-27,District of Columbia,Washington,100 block of Q Street Northwest,1,7
2017-05-28,Mississippi,Moss Point,6103 Hwy. 63,0,5
2017-05-28,New Jersey,Paterson,86 Main Street,1,5
2017-05-28,Alabama,Phenix City,100 block of 6th Street South,0,12
2017-05-29,Kentucky,Louisville,231 Witherspoon St,1,3
2017-05-30,Ohio,Middletown,1200 Elliott Dr,1,3
2017-06-01,Missouri,Saint Louis,Beacon Ave and Lillian Ave,3,1
2017-06-02,California,Los Angeles,89th St and Broadway,1,3
2017-06-02,Texas,Laredo,5301 McPherson Rd,2,3
2017-06-03,Louisiana,New Orleans,3717 Tulane Ave,3,2
2017-06-03,Missouri,Saint Louis,1600 Block of Union Blvd,2,2
2017-06-05,Florida,Orlando,2427 Forsyth Rd,6,0
2017-06-06,Utah,Sandy,2232 Alta Canyon Drive,3,2
2017-06-08,Louisiana,New Orleans,3650 Franklin Ave,0,6
2017-06-09,Texas,Fort Worth,East Davis Avenue and New York Avenue,2,5
2017-06-10,Tennessee,Memphis,571 East Street,0,4
2017-06-11,Texas,Houston,505 Cypress Station Dr,0,4
2017-06-11,Tennessee,Chattanooga,4272 Bonny Oaks Drive,0,4
2017-06-11,Illinois,Chicago,3300 block of W Douglas Blvd,0,9
2017-06-13,Missouri,Saint Louis (University City),Ferguson Ave and Plymouth Ave,0,4
2017-06-13,Maryland,Baltimore,1200 block of Bonaparte Avenue,2,2
2017-06-13,Maryland,Baltimore,3300 block of Ayrdale Avenue,0,4
2017-06-14,California,San Francisco,720 San Bruno,4,2
2017-06-14,Virginia,Alexandria,420 E Monroe Ave,1,5
2017-06-14,Ohio,Canton,14th St. NE and Gibbs Ave. NE,0,4
2017-06-15,New Mexico,La Madera,491 NM 111,5,0
2017-06-15,Virginia,Richmond,4053 Old Brook Road,1,3
2017-06-17,Ohio,Columbus,6252 Busch Blvd,1,4
2017-06-17,Illinois,Chicago,1 block of North Latrobe,0,4
2017-06-18,South Carolina,Myrtle Beach,311 N Ocean Blvd,0,7
2017-06-18,Illinois,Chicago,3300 block of W Crystal St,0,4
2017-06-18,District of Columbia,Washington,3100 block of Buena Vista Terrace SE,0,4
2017-06-18,Missouri,Saint Louis,1900 block of N 14th St,3,2
2017-06-22,Georgia,Atlanta,1100 block of Osborne Street,1,6
2017-06-24,New Jersey,Willingboro,Pastoral Lane,0,4
2017-06-24,New York,New York (Manhattan),114th St and Manhattan Ave,0,5
2017-06-24,Florida,Fort Lauderdale,2335 NW 16th Ct,1,4
2017-06-25,Missouri,Saint Louis,5000 block of Thekla Ave,1,3
2017-06-25,District of Columbia,Washington,5900 block of Southern Ave SE,0,4
2017-06-27,Illinois,Chicago,200 block of S Lotus,0,5
2017-06-30,New York,Bronx,1650 Grand Concourse,2,6
2017-07-01,Illinois,Momence,2727 S 13000 Rd E,0,4
2017-07-01,Arkansas,Little Rock,220 W 6th St,0,25
2017-07-01,California,Oakland,3200 Humboldt Ave,0,4
2017-07-01,New Jersey,Newark,Lincoln Park and Pennsylvania Avenue,2,2
2017-07-02,New Jersey,Jersey City,Wilkinson Avenue,0,4
2017-07-02,South Carolina,Greenwood,SC 72 Bypass,0,4
2017-07-03,Michigan,Pontiac,50 block of Thorpe St,1,3
2017-07-03,Alabama,Prattville,112 US 82,3,1
2017-07-04,North Carolina,Raleigh,105 E South St,1,3
2017-07-04,Virginia,Hampton,500 block of Patterson Ave,1,4
2017-07-04,Florida,Orlando (Pine Castle),501 W Lancaster Rd,0,4
2017-07-05,Maine,Madison,300 block of Russell Rd,4,1
2017-07-05,Illinois,Chicago (Roseland),11000 block of S Eberhart,2,2
2017-07-05,Georgia,Savannah,Jefferson Street and West St. Julian Street,0,4
2017-07-06,Mississippi,Meridian,Eighth Ave,0,4
2017-07-08,Ohio,Cincinnati,9917 Capstan Dr,1,8
2017-07-08,Illinois,Alton,700 block of Oakwood,0,4
2017-07-09,Virginia,Lawrenceville,500 block Sturgeon Rd,0,7
2017-07-15,Pennsylvania,Philadelphia,21st and Fitzwater,1,3
2017-07-15,Illinois,Chicago,12200 block of S Throop St,0,4
2017-07-18,Arizona,El Mirage,NW Grand Ave and W Thunderbird Rd,0,4
2017-07-18,Wisconsin,Milwaukee,3000 Block of N 39th St,0,4
2017-07-18,New Jersey,Trenton,Hewitt St and Division St,1,3
2017-07-19,California,Los Angeles,Imperial Hwy and Broadway,1,3
2017-07-19,Virginia,Richmond,2300 block of Bethel St,0,5
2017-07-22,Ohio,Cincinnati,130 E Clifton Ave,0,5
2017-07-23,Louisiana,Baton Rouge,10360 Ave H,0,4
2017-07-23,Illinois,Chicago,1500 block of East 82nd St,1,3
2017-07-25,Florida,Jacksonville,1040 Golfair Boulevard,1,3
2017-07-26,North Carolina,High Point,2111 E. Green Drive,1,6
2017-07-27,Illinois,Chicago,2000 block of E 71st St,1,4
2017-07-28,Delaware,Wilmington,400 block of N Washington St,0,4
2017-07-29,New York,Buffalo,200 block of Carl St,1,4
2017-07-29,North Carolina,Salisbury,115 W Fisher St,2,3
2017-07-30,Texas,El Paso,1810 George Dieter Dr,1,3
2017-07-30,Virginia,Norfolk,1500 block of Azalea Garden Rd,1,5
2017-07-31,Illinois,Decatur,Jasper St and Main St,0,4
2017-08-01,Illinois,Chicago,800 block of N Monticello Ave,0,4
2017-08-01,California,Fresno,Mariposa St and A St,0,7
2017-08-01,Washington,Toppenish,8000 Block of Lateral C Rd,0,6
2017-08-02,Maryland,Baltimore,900 block of N Broadway,0,4
2017-08-03,District of Columbia,Washington,3426 18th St NE,1,3
2017-08-04,Montana,Lodge Grass,200 block of North Helen Street,3,2
2017-08-05,Florida,Tallahassee,1939 W Tennessee St,1,3
2017-08-05,South Carolina,Allendale,300 block of Ellis St,1,3
2017-08-05,New Jersey,Lakewood,900 block of Brook Road,0,4
2017-08-06,New York,Bronx,Wickham Ave,0,6
2017-08-06,California,Oakland,1000 block of 106th Avenue,0,7
2017-08-06,New York,Bronx,Unionport Rd,0,4
2017-08-08,Illinois,Chicago,1 block of East 37th Street,1,6
2017-08-12,Missouri,Saint Louis,12310 Bellefontaine Rd,1,3
